 
X=1012500	Y=1847500
------
WB_FOR	
7/26/2012 9:00:00 AM;116.508117675781;116.525161743164
7/26/2012 3:00:00 PM;115.961761474609;116.040618896484
7/26/2012 9:00:00 PM;114.77751159668;114.929565429688
------
WB_OBS
7/25/2012 6:00:00 PM;115.034744262695
7/24/2012 6:00:00 PM;116.344848632813
7/23/2012 6:00:00 PM;120.228393554688
------
FOR_DETETMINISTIC/DWD/EUD
27/07/2012 03:00 AM;113.262756347656;113.466766357422
27/07/2012 09:00 AM;111.661956787109;111.895797729492
27/07/2012 03:00 PM;110.133087158203;110.403533935547
27/07/2012 09:00 PM;108.756683349609;109.061645507813
28/07/2012 03:00 AM;107.518524169922;107.865753173828
28/07/2012 09:00 AM;106.427810668945;106.79020690918
28/07/2012 03:00 PM;105.44580078125;105.812911987305
28/07/2012 09:00 PM;104.546447753906;104.920349121094
29/07/2012 03:00 AM;103.711395263672;104.107482910156
29/07/2012 09:00 AM;102.928894042969;103.749725341797
29/07/2012 03:00 PM;102.191482543945;106.829193115234
29/07/2012 09:00 PM;101.494140625;113.006500244141
30/07/2012 03:00 AM;100.833343505859;116.862976074219
30/07/2012 09:00 AM;100.222534179688;118.159683227539
30/07/2012 03:00 PM;99.7164154052734;117.838897705078
30/07/2012 09:00 PM;99.3063812255859;116.482269287109
31/07/2012 03:00 AM;98.9777679443359;114.627899169922
31/07/2012 09:00 AM;98.7191467285156;112.763122558594
31/07/2012 03:00 PM;98.5190734863281;111.083953857422
31/07/2012 09:00 PM;98.5587158203125;109.466613769531
01/08/2012 03:00 AM;98.8585815429688;107.888000488281
01/08/2012 09:00 AM;99.0324096679688;106.374496459961
01/08/2012 03:00 PM;99.0010986328125;104.959259033203
01/08/2012 09:00 PM;98.7888641357422;103.663635253906
02/08/2012 03:00 AM;98.4445190429688;102.487380981445
02/08/2012 09:00 AM;98.00927734375;101.425109863281
02/08/2012 03:00 PM;97.5114135742188;100.484100341797
02/08/2012 09:00 PM;96.9716491699219;99.7120361328125
03/08/2012 03:00 AM;1.7E+308;99.2962493896484
03/08/2012 09:00 AM;1.7E+308;99.5143585205078
03/08/2012 03:00 PM;1.7E+308;100.130401611328
03/08/2012 09:00 PM;1.7E+308;100.480865478516
04/08/2012 03:00 AM;1.7E+308;100.340515136719
04/08/2012 09:00 AM;1.7E+308;99.79931640625
04/08/2012 03:00 PM;1.7E+308;99.0550842285156
04/08/2012 09:00 PM;1.7E+308;98.3815612792969
05/08/2012 03:00 AM;1.7E+308;98.3650817871094
05/08/2012 09:00 AM;1.7E+308;100.041290283203
05/08/2012 03:00 PM;1.7E+308;102.635131835938
05/08/2012 09:00 PM;1.7E+308;103.883102416992
------
FOR_PROBABILISTIC QMIN/Q25/QMED/Q75/QMAX	
7/27/2012 12:00:00 PM;110.876510620117;110.881286621094;110.885986328125;110.890480041504;110.898223876953
7/28/2012 12:00:00 PM;105.943267822266;105.976150512695;106.006408691406;106.034225463867;106.121658325195
7/29/2012 12:00:00 PM;102.94677734375;104.097366333008;105.950744628906;110.814819335938;128.880126953125
7/30/2012 12:00:00 PM;101.112152099609;103.589248657227;107.602294921875;114.95743560791;141.421569824219
7/31/2012 12:00:00 PM;99.1953125;103.79369354248;106.956008911133;112.672882080078;123.516998291016
8/1/2012 12:00:00 PM;97.2408752441406;103.230926513672;106.728393554688;109.317665100098;125.518188476563
8/2/2012 12:00:00 PM;95.3248138427734;101.188011169434;104.66259765625;108.987083435059;134.954742431641
8/3/2012 12:00:00 PM;93.7392883300781;99.6595077514648;103.394897460938;106.87133026123;146.920013427734
8/4/2012 12:00:00 PM;93.7828674316406;97.6234970092773;101.11589050293;107.71662902832;129.118087768555
8/5/2012 12:00:00 PM;91.7444458007813;95.7449645996094;99.4046325683594;111.642501831055;135.248733520508
----
THlow=95.0554275512695 ; THmedium=102.197296142578 ; THHigh= 119.773216247559 ; THextreme= 142.572296142578
